QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,MONEYNESS,C_Midpoint,C_Spread
2016-01-20,1859.48,2017-01-20,428.4,432.6,1450.0,0.26499,0.78,430.5,-4.2000000000000455
2016-01-20,1859.48,2017-01-20,387.6,391.7,1500.0,0.26134,0.81,389.65,-4.099999999999966
2016-01-20,1859.48,2017-01-20,328.3,332.3,1575.0,0.25258,0.85,330.3,-4.0
2016-01-20,1859.48,2017-01-20,290.6,294.41,1625.0,0.24659,0.87,292.505,-3.8100000000000023
2016-01-20,1859.48,2017-01-20,254.4,258.09,1675.0,0.23963,0.9,256.245,-3.6899999999999693
2016-01-20,1859.48,2017-01-20,220.0,223.71,1725.0,0.23135,0.93,221.85500000000002,-3.710000000000008
2016-01-20,1859.48,2017-01-20,171.8,175.2,1800.0,0.21938,0.97,173.5,-3.3999999999999773
2016-01-20,1859.48,2017-01-20,156.9,160.3,1825.0,0.21568,0.98,158.60000000000002,-3.4000000000000057
2016-01-20,1859.48,2017-01-20,128.49,131.8,1875.0,0.20726,1.01,130.145,-3.3100000000000023
2016-01-20,1859.48,2017-01-20,115.5,118.6,1900.0,0.20243,1.02,117.05,-3.0999999999999943
2016-01-20,1859.48,2017-01-20,103.0,106.1,1925.0,0.19893,1.04,104.55,-3.0999999999999943
2016-01-20,1859.48,2017-01-20,91.2,94.29,1950.0,0.1946,1.05,92.745,-3.0900000000000034
2016-01-20,1859.48,2017-01-20,70.0,72.91,2000.0,0.18595,1.08,71.455,-2.9099999999999966
2016-01-20,1859.48,2017-01-20,51.4,54.1,2050.0,0.17713,1.1,52.75,-2.700000000000003
2016-01-20,1859.48,2017-01-20,19.21,21.39,2175.0,0.15585,1.17,20.3,-2.1799999999999997
2016-01-20,1859.48,2017-01-20,11.7,13.8,2225.0,0.14872,1.2,12.75,-2.1000000000000014
2016-01-20,1859.48,2017-01-20,8.89,11.0,2250.0,0.14518,1.21,9.945,-2.1099999999999994
2016-01-20,1859.48,2017-01-20,6.7,8.8,2275.0,0.14315,1.22,7.75,-2.1000000000000005
2016-01-20,1859.48,2017-01-20,4.9,6.99,2300.0,0.14047,1.24,5.945,-2.09
2016-01-20,1859.48,2017-01-20,0.54,2.0,2425.0,0.12879,1.3,1.27,-1.46
2016-01-20,1859.48,2017-01-20,0.2,2.24,2450.0,0.1322,1.32,1.2200000000000002,-2.04
2016-01-20,1859.48,2017-01-20,0.0,1.75,2500.0,0.13381,1.34,0.875,-1.75
