QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV,MONEYNESS,P_Midpoint,P_Spread
2016-01-20,198.7,2017-01-20,18.55,19.94,150.0,0.53022,0.75,19.245,-1.3900000000000006
2016-01-20,198.7,2017-01-20,20.4,21.31,155.0,0.52039,0.78,20.854999999999997,-0.9100000000000001
2016-01-20,198.7,2017-01-20,22.2,23.35,160.0,0.51423,0.81,22.775,-1.1500000000000021
2016-01-20,198.7,2017-01-20,24.55,25.8,165.0,0.51357,0.83,25.175,-1.25
2016-01-20,198.7,2017-01-20,26.7,28.05,170.0,0.50896,0.86,27.375,-1.3500000000000014
2016-01-20,198.7,2017-01-20,27.7,30.36,175.0,0.49457,0.88,29.03,-2.66
2016-01-20,198.7,2017-01-20,30.25,32.75,180.0,0.49117,0.91,31.5,-2.5
2016-01-20,198.7,2017-01-20,33.89,35.3,185.0,0.49398,0.93,34.595,-1.4099999999999966
2016-01-20,198.7,2017-01-20,36.25,38.45,190.0,0.49128,0.96,37.35,-2.200000000000003
2016-01-20,198.7,2017-01-20,39.16,40.6,195.0,0.48464,0.98,39.879999999999995,-1.4400000000000048
2016-01-20,198.7,2017-01-20,42.1,43.7,200.0,0.48296,1.01,42.900000000000006,-1.6000000000000014
2016-01-20,198.7,2017-01-20,48.0,49.64,210.0,0.47387,1.06,48.82,-1.6400000000000006
2016-01-20,198.7,2017-01-20,54.46,56.0,220.0,0.46666,1.11,55.230000000000004,-1.5399999999999991
2016-01-20,198.7,2017-01-20,61.2,63.95,230.0,0.46734,1.16,62.575,-2.75
2016-01-20,198.7,2017-01-20,68.36,69.85,240.0,0.45254,1.21,69.10499999999999,-1.4899999999999949
2016-01-20,198.7,2017-01-20,75.66,76.64,250.0,0.44105,1.26,76.15,-0.980000000000004
2016-01-20,198.7,2017-01-20,83.59,85.55,260.0,0.44536,1.31,84.57,-1.9599999999999937
